0	5067	m-d	1
5067	0	d-m	1
1	4958	m-d	1
4958	1	d-m	1
2	6035	m-d	1
6035	2	d-m	1
3	4608	m-d	1
4608	3	d-m	1
4	4369	m-d	1
4369	4	d-m	1
5	6038	m-d	1
6038	5	d-m	1
6	5707	m-d	1
5707	6	d-m	1
7	5326	m-d	1
5326	7	d-m	1
8	6351	m-d	1
6351	8	d-m	1
9	4527	m-d	1
4527	9	d-m	1
10	5509	m-d	1
5509	10	d-m	1
11	4958	m-d	1
4958	11	d-m	1
12	4958	m-d	1
4958	12	d-m	1
13	6351	m-d	1
6351	13	d-m	1
14	4356	m-d	1
4356	14	d-m	1
15	5326	m-d	1
5326	15	d-m	1
16	5945	m-d	1
5945	16	d-m	1
17	4429	m-d	1
4429	17	d-m	1
18	5512	m-d	1
5512	18	d-m	1
19	5936	m-d	1
5936	19	d-m	1
20	5827	m-d	1
5827	20	d-m	1
21	5067	m-d	1
5067	21	d-m	1
22	4398	m-d	1
4398	22	d-m	1
23	5810	m-d	1
5810	23	d-m	1
24	4627	m-d	1
4627	24	d-m	1
25	6035	m-d	1
6035	25	d-m	1
26	6038	m-d	1
6038	26	d-m	1
27	6077	m-d	1
6077	27	d-m	1
28	4502	m-d	1
4502	28	d-m	1
29	4668	m-d	1
4668	29	d-m	1
30	5601	m-d	1
5601	30	d-m	1
31	5601	m-d	1
5601	31	d-m	1
32	5512	m-d	1
5512	32	d-m	1
33	5313	m-d	1
5313	33	d-m	1
34	5237	m-d	1
5237	34	d-m	1
35	5551	m-d	1
5551	35	d-m	1
36	5450	m-d	1
5450	36	d-m	1
37	5588	m-d	1
5588	37	d-m	1
38	5094	m-d	1
5094	38	d-m	1
39	5509	m-d	1
5509	39	d-m	1
40	4527	m-d	1
4527	40	d-m	1
41	5044	m-d	1
5044	41	d-m	1
42	4431	m-d	1
4431	42	d-m	1
43	5677	m-d	1
5677	43	d-m	1
44	4975	m-d	1
4975	44	d-m	1
45	5601	m-d	1
5601	45	d-m	1
46	6155	m-d	1
6155	46	d-m	1
47	5838	m-d	1
5838	47	d-m	1
48	5525	m-d	1
5525	48	d-m	1
49	5345	m-d	1
5345	49	d-m	1
50	4502	m-d	1
4502	50	d-m	1
51	5997	m-d	1
5997	51	d-m	1
52	5981	m-d	1
5981	52	d-m	1
53	5428	m-d	1
5428	53	d-m	1
54	4749	m-d	1
4749	54	d-m	1
55	4527	m-d	1
4527	55	d-m	1
56	4608	m-d	1
4608	56	d-m	1
57	5806	m-d	1
5806	57	d-m	1
58	5944	m-d	1
5944	58	d-m	1
59	5273	m-d	1
5273	59	d-m	1
60	5556	m-d	1
5556	60	d-m	1
61	4429	m-d	1
4429	61	d-m	1
62	5942	m-d	1
5942	62	d-m	1
63	4704	m-d	1
4704	63	d-m	1
64	6249	m-d	1
6249	64	d-m	1
65	4789	m-d	1
4789	65	d-m	1
66	5400	m-d	1
5400	66	d-m	1
67	6131	m-d	1
6131	67	d-m	1
68	5806	m-d	1
5806	68	d-m	1
69	5273	m-d	1
5273	69	d-m	1
70	5273	m-d	1
5273	70	d-m	1
71	6011	m-d	1
6011	71	d-m	1
72	5977	m-d	1
5977	72	d-m	1
73	5572	m-d	1
5572	73	d-m	1
74	5998	m-d	1
5998	74	d-m	1
75	4537	m-d	1
4537	75	d-m	1
76	4398	m-d	1
4398	76	d-m	1
77	5675	m-d	1
5675	77	d-m	1
78	4486	m-d	1
4486	78	d-m	1
79	4780	m-d	1
4780	79	d-m	1
80	5904	m-d	1
5904	80	d-m	1
81	5997	m-d	1
5997	81	d-m	1
82	5301	m-d	1
5301	82	d-m	1
83	5077	m-d	1
5077	83	d-m	1
84	4608	m-d	1
4608	84	d-m	1
85	4608	m-d	1
4608	85	d-m	1
86	5008	m-d	1
5008	86	d-m	1
87	5942	m-d	1
5942	87	d-m	1
88	4714	m-d	1
4714	88	d-m	1
89	5580	m-d	1
5580	89	d-m	1
90	5284	m-d	1
5284	90	d-m	1
91	6338	m-d	1
6338	91	d-m	1
92	4581	m-d	1
4581	92	d-m	1
93	4797	m-d	1
4797	93	d-m	1
94	4311	m-d	1
4311	94	d-m	1
95	5601	m-d	1
5601	95	d-m	1
96	5601	m-d	1
5601	96	d-m	1
97	5751	m-d	1
5751	97	d-m	1
98	5810	m-d	1
5810	98	d-m	1
99	4869	m-d	1
4869	99	d-m	1
100	6210	m-d	1
6210	100	d-m	1
101	4486	m-d	1
4486	101	d-m	1
102	4608	m-d	1
4608	102	d-m	1
103	4830	m-d	1
4830	103	d-m	1
104	6084	m-d	1
6084	104	d-m	1
105	4917	m-d	1
4917	105	d-m	1
106	5428	m-d	1
5428	106	d-m	1
107	4572	m-d	1
4572	107	d-m	1
108	5428	m-d	1
5428	108	d-m	1
109	4311	m-d	1
4311	109	d-m	1
110	4933	m-d	1
4933	110	d-m	1
111	5382	m-d	1
5382	111	d-m	1
112	4529	m-d	1
4529	112	d-m	1
113	5015	m-d	1
5015	113	d-m	1
114	5298	m-d	1
5298	114	d-m	1
115	6210	m-d	1
6210	115	d-m	1
116	4606	m-d	1
4606	116	d-m	1
117	5192	m-d	1
5192	117	d-m	1
118	4749	m-d	1
4749	118	d-m	1
119	6140	m-d	1
6140	119	d-m	1
120	5149	m-d	1
5149	120	d-m	1
121	5496	m-d	1
5496	121	d-m	1
122	5044	m-d	1
5044	122	d-m	1
123	5997	m-d	1
5997	123	d-m	1
124	6099	m-d	1
6099	124	d-m	1
125	4705	m-d	1
4705	125	d-m	1
126	5947	m-d	1
5947	126	d-m	1
127	4830	m-d	1
4830	127	d-m	1
128	5448	m-d	1
5448	128	d-m	1
129	5783	m-d	1
5783	129	d-m	1
130	5601	m-d	1
5601	130	d-m	1
131	4429	m-d	1
4429	131	d-m	1
132	5981	m-d	1
5981	132	d-m	1
133	4322	m-d	1
4322	133	d-m	1
134	4486	m-d	1
4486	134	d-m	1
135	4753	m-d	1
4753	135	d-m	1
136	4811	m-d	1
4811	136	d-m	1
137	5936	m-d	1
5936	137	d-m	1
138	5044	m-d	1
5044	138	d-m	1
139	6038	m-d	1
6038	139	d-m	1
140	4752	m-d	1
4752	140	d-m	1
141	4327	m-d	1
4327	141	d-m	1
142	5942	m-d	1
5942	142	d-m	1
143	6351	m-d	1
6351	143	d-m	1
144	5910	m-d	1
5910	144	d-m	1
145	4382	m-d	1
4382	145	d-m	1
146	5280	m-d	1
